proposal_id	proposal_type	identity_key	card	disposition	approval_basis	validator_version	validation_failures
packet1_rationale_wubrg_9f6828e3_39d9_45d9_9bf1_0e3737a0321e	CARD_RATIONALE	WUBRG	Ulalek, Fused Atrocity	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_rationale_yore_d460a9e2_5a7d_4562_880e_45174be19a9d	CARD_RATIONALE	YORE	Breya, Etherium Shaper	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_abzan_46535f8e_1bcd_4588_ac6c_a4bc89c379c8_1	CARD_VOICE	ABZAN	Abzan Banner	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_b_78725353_9274_420a_b722_add0f43c444e_replacement	CARD_VOICE	B	Ancient Craving	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_bant_67ceffa4_2fdb_499c_88cd_49fb5eb9be59_2	CARD_VOICE	BANT	Bant Sojourners	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_bg_fc17d8dd_887f_405e_a195_777aa3da36f5_1	CARD_VOICE	BG	Bloodbond March	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_br_3f806353_592e_431c_a7dd_a4c64034f94d_1	CARD_VOICE	BR	Avatar of Discord	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_colorless_14693689_d087_43b6_9c3f_63ab0648fc20_1	CARD_VOICE	COLORLESS	All Is Dust	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_dune_0f5a3a09_2f07_4774_9e0f_e99d9a444166_1	CARD_VOICE	DUNE	Aurelia, the Warleader	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_esper_fef94125_aa8d_4147_a609_1e990961bde2_3	CARD_VOICE	ESPER	Brainbite	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_g_b0b6be0c_41cf_4757_9f0e_87227b6ba6b3_3	CARD_VOICE	G	Ghalta, Primal Hunger	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_glint_3a92b235_196b_4f46_9d20_06f4d3653d36_replacement	CARD_VOICE	GLINT	Aberrant Return	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_grixis_fef94125_aa8d_4147_a609_1e990961bde2_3	CARD_VOICE	GRIXIS	Brainbite	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_ink_0895c9b7_ae7d_4bb3_af17_3b75deb50a25_replacement	CARD_VOICE	INK	Command Tower	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_jeskai_341cf654_faf7_4db9_bd9a_70783f1ccff0_2	CARD_VOICE	JESKAI	Bloodfire Expert	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_jund_9b984236_39cf_4552_827b_e81c26cfb388_1	CARD_VOICE	JUND	Broodmate Tyrant	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_lorehold_d34a3b58_a905_4e90_b35c_9f5c21149b04_1	CARD_VOICE	LOREHOLD	Campus Renovation	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_mardu_cad09970_14c8_4d80_82fe_6c855efb0191_3	CARD_VOICE	MARDU	Bloodsoaked Champion	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_naya_956250da_532a_4457_8696_73915be56943_2	CARD_VOICE	NAYA	Cradle of Vitality	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_prismari_47ee6837_2e2f_4344_ab9f_6b8887874f77_1	CARD_VOICE	PRISMARI	Colorstorm Stallion	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_quandrix_ce1a6c1f_6b4e_4d19_b256_48d073b359b7_3	CARD_VOICE	QUANDRIX	Additive Evolution	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_r_c363f338_0777_45e6_b13c_f15ba026b63a_replacement	CARD_VOICE	R	Built to Smash	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_rg_327d9679_0049_4401_8dab_e0fb362306bd_2	CARD_VOICE	RG	Burning-Tree Emissary	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_silverquill_f88eeb04_4b8e_4c76_a8c6_90887b94d518_1	CARD_VOICE	SILVERQUILL	Beaming Defiance	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_sultai_c469133e_174d_476b_b135_bbf15e415e72_2	CARD_VOICE	SULTAI	Aggressive Negotiations	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_temur_ccad8b03_5ff1_4895_94e0_0c96883cb875_1	CARD_VOICE	TEMUR	Avalanche Tusker	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_u_0f8b97fe_3e5e_47c2_9a9d_7f77482aa159_2	CARD_VOICE	U	Azami, Lady of Scrolls	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_ub_c9edddb4_0d60_4d21_8887_51d943c6a31f_2	CARD_VOICE	UB	Consult the Necrosages	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_ug_69fd4ddf_9ed8_4c56_bef3_9944daf05e4f_3	CARD_VOICE	UG	Coiling Oracle	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_ur_fa09e18c_e7cf_4f08_9cc4_324e36594063_1	CARD_VOICE	UR	Beamsplitter Mage	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_w_ae61b2ef_2e60_499a_8708_e37b9bd5620e_replacement	CARD_VOICE	W	Aligned Heart	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_wb_05501e88_d4c3_4474_92a9_c02ab15b107b_1	CARD_VOICE	WB	Afterlife Insurance	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_wg_9aab386c_d48c_4611_b757_aa69b26cc1b1_1	CARD_VOICE	WG	Camaraderie	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_witch_af42079b_a3c0_448c_9bb2_b915252e87a9_replacement	CARD_VOICE	WITCH	Animation Module	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_witherbloom_53e86135_3b24_4618_bcc0_af4d81e672dd_replacement	CARD_VOICE	WITHERBLOOM	Death Begets Life	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_wr_30b20932_0d9a_447f_b934_1daa8c44a678_2	CARD_VOICE	WR	Boros Strike-Captain	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_wu_27e04c41_f42c_4d60_8a71_ec2d7c326f64_2	CARD_VOICE	WU	Azorius Cluestone	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_wubrg_e9e25800_9ee7_40c9_b22d_611c7281c125_1	CARD_VOICE	WUBRG	Coalition Victory	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
packet1_voice_yore_ed10bb4c_f7ef_4046_8dde_465041b55078_replacement	CARD_VOICE	YORE	Artificer's Epiphany	APPROVED_PUBLIC	EVIDENCE_VALIDATED_AUTOMATIC	vm551-evidence-validator-v1	none
